,,,,,,,,,,,,,,,Heatng load (kBtu/h),Cooling load (kbtu/h),,,,1.788708776,,,,,,,,,,
,,,,,,,,,,,,,,,42.1274081,,#REF!,,,#REF!,,,,,480000,,,,,
Date,Time,Heatng load (kBtu/h),Cooling load (kbtu/h),,,,,,,,,,,,,,,,,,,,,,,#REF!,,,,25
"Fri, 01/Jan",0:30,2898.197,500.885,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:30,2900.906,564.733,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:30,2887.203,566.912,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:30,2895.543,588.186,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:30,2887.514,584.746,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:30,2870.91,627.771,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:30,2709.086,547.133,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:30,2393.721,595.579,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:30,2297.535,640.689,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:30,2274.772,609.175,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:30,2254.022,646.912,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:30,2223.801,633.485,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:30,2275.235,489.75,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:30,2239.019,620.296,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:30,2267.903,609.036,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:30,2263.602,584.903,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:30,2286.465,603.241,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:30,2273.297,600.953,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:30,2293.4,601.145,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19:30,2290.919,597.138,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:30,2694.892,560.293,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21:30,2868.878,596.359,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:30,2866.687,572.191,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:30,2878.931,573.356,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sat, 02/Jan",0:30,2859.525,583.944,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:30,2886.543,556.115,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:30,2879.919,565.11,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:30,2879.779,592.988,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:30,2883.496,551.559,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:30,2895.137,571.36,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:30,2704.25,574.113,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:30,2400.443,616.071,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:30,2305.301,602.837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:30,2283.442,599.331,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:30,2266.168,662.636,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:30,2235.445,634.324,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:30,2257.13,569.639,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:30,2238.041,619.596,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:30,2249.518,589.936,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:30,2255.833,600.787,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:30,2257.365,645.604,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:30,2248.297,625.365,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:30,2248.769,585.542,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19:30,2255.085,575.807,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:30,2668.234,538.286,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21:30,2868.197,565.597,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:30,2829.509,572.218,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:30,2885.917,592.084,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Sun, 03/Jan",0:30,2834.465,570.303,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:30,2868.796,632.406,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:30,2828.113,553.977,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:30,2888.659,573.988,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:30,2832.93,552.371,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:30,2887.16,574.471,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:30,2672.509,577.194,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:30,2377.031,574.816,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:30,2307.475,601.047,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:30,2257.036,597.955,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:30,2238.388,629.648,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:30,2231.339,604.956,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:30,2225.344,649.267,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:30,2222.115,613.195,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:30,2238.776,585.624,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:30,2262.867,587.943,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:30,2253.395,580.982,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:30,2272.84,600.309,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:30,2275.427,584.384,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19:30,2265.704,617.241,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:30,2670.35,579.727,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21:30,2836.3,584.943,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:30,2844.35,569.19,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:30,2865.519,557.498,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mon, 04/Jan",0:30,2853.99,546.124,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:30,2874.79,572.149,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:30,2859.906,566.407,,,,,,,,,,,,,,,,,,,,,,,,,,,
,3:30,2878.857,559.651,,,,,,,,,,,,,,,,,,,,,,,,,,,
,4:30,2867.126,563.738,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5:30,2885.092,557.136,,,,,,,,,,,,,,,,,,,,,,,,,,,
,6:30,2685.405,608.53,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7:30,2384.052,585.782,,,,,,,,,,,,,,,,,,,,,,,,,,,
,8:30,2321.469,600.465,,,,,,,,,,,,,,,,,,,,,,,,,,,
,9:30,2279.071,601.954,,,,,,,,,,,,,,,,,,,,,,,,,,,
,10:30,2265.193,639.902,,,,,,,,,,,,,,,,,,,,,,,,,,,
,11:30,2232.525,611.188,,,,,,,,,,,,,,,,,,,,,,,,,,,
,12:30,2225.698,645.784,,,,,,,,,,,,,,,,,,,,,,,,,,,
,13:30,2211.746,611.553,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14:30,2223.841,609.619,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15:30,2226.061,607.529,,,,,,,,,,,,,,,,,,,,,,,,,,,
,16:30,2251.143,585.837,,,,,,,,,,,,,,,,,,,,,,,,,,,
,17:30,2268.833,585.099,,,,,,,,,,,,,,,,,,,,,,,,,,,
,18:30,2279.299,546.212,,,,,,,,,,,,,,,,,,,,,,,,,,,
,19:30,2306.664,576.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
,20:30,2692.46,575.788,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21:30,2861.084,595.704,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22:30,2882.261,541.951,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23:30,2901.016,555.265,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Tue, 05/Jan",0:30,2912.023,524.524,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1:30,2911.262,594.501,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2:30,2909.369,552.542,,,,,,,,,,,,,,,,,,,,,,,,,,,
